202600190,02/11/2026 03:13:00 am,"1412 RANGE LINE ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,WEAPONS LAW,ASSAULT-AGGRAVATED,ACTIVE
202600190,02/11/2026 03:12:59 am-02/11/2026 03:13:00 am,"1412 RANGE LINE ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,WEAPONS LAW,ASSAULT-AGGRAVATED,ACTIVE
202600190,02/11/2026 03:13:00 am,"1412 RANGE LINE ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,RESISTING ARREST BY FLEEING,ASSAULT-AGGRAVATED,ACTIVE
202600190,02/11/2026 03:12:59 am-02/11/2026 03:13:00 am,"1412 RANGE LINE ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,RESISTING ARREST BY FLEEING,ASSAULT-AGGRAVATED,ACTIVE
202600188,02/11/2026 12:53:00 am,"901 HITT ST , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202600188,02/11/2026 12:52:59 am-02/11/2026 12:53:00 am,"901 HITT ST , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202600187,02/10/2026 11:12:00 pm,"309 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,MEDICAL EMERGENCY,LIQUOR LAW,EXCEPTIONALLY CLEARED
202600187,02/10/2026 11:11:59 pm-02/10/2026 11:12:00 pm,"309 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,MEDICAL EMERGENCY,LIQUOR LAW,EXCEPTIONALLY CLEARED
202600187,02/10/2026 11:12:00 pm,"309 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202600187,02/10/2026 11:11:59 pm-02/10/2026 11:12:00 pm,"309 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202600186,02/10/2026 09:43:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202600186,02/10/2026 09:37:00 pm-02/10/2026 09:37:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202600185,02/10/2026 01:12:00 pm,"700 HITT ST , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600185,12/20/2025 12:01:00 am-12/22/2025 11:59:00 pm,"700 HITT ST , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600184,02/10/2026 12:00:00 am,"905 HITT ST , COLUMBIA MO,",NO NOT APPLICABLE,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600184,02/06/2026 12:00:00 am-01/01/1970 12:00:00 am,"905 HITT ST , COLUMBIA MO,",NO NOT APPLICABLE,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600183,02/09/2026 08:50:00 pm,"99 N PROVIDENCE RD/E WALNUT ST , COLUMBIA MO, 65203",NO,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202600183,02/09/2026 08:50:00 pm-02/09/2026 08:50:00 pm,"99 N PROVIDENCE RD/E WALNUT ST , COLUMBIA MO, 65203",NO,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202600182,02/09/2026 01:28:00 pm,"805 ROLLINS ST , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202600182,02/09/2026 01:27:00 pm-02/09/2026 01:27:00 pm,"805 ROLLINS ST , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202600181,02/09/2026 12:50:00 pm,"3737 ASPEN HEIGHTS PKWY , COLUMBIA MO, 65201",NO,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLOSED
202600181,02/07/2026 10:00:00 pm-02/09/2026 12:50:00 pm,"3737 ASPEN HEIGHTS PKWY , COLUMBIA MO, 65201",NO,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLOSED
202600180,02/09/2026 12:08:00 pm,"999 VIRGINIA AVE/HOSPITAL DR , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600180,02/09/2026 12:03:00 pm-02/09/2026 12:03:00 pm,"999 VIRGINIA AVE/HOSPITAL DR , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600179,02/07/2026 12:00:00 am,"502 KENTUCKY BLVD , COLUMBIA MO,",NO NOT APPLICABLE,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600179,02/07/2026 12:00:00 am-01/01/1970 12:00:00 am,"502 KENTUCKY BLVD , COLUMBIA MO,",NO NOT APPLICABLE,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600178,02/09/2026 10:47:00 am,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,ACTIVE
202600178,01/29/2026 12:00:00 am-01/29/2026 12:00:00 am,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,ACTIVE
202600177,02/08/2026 06:08:00 pm,"515 S FIFTH ST , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600177,02/07/2026 05:00:00 am-02/08/2026 06:08:00 pm,"515 S FIFTH ST , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600176,02/08/2026 08:05:00 pm,"1598 S PROVIDENCE RD/MICK DEAVER DR , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202600176,02/08/2026 08:04:59 pm-02/08/2026 08:05:00 pm,"1598 S PROVIDENCE RD/MICK DEAVER DR , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202600175,02/08/2026 01:23:00 pm,"1205 UNIVERSITY AVE , COLUMBIA MO, 65201",YES CONTINUING SOCIAL RELATIONSHIP ROMANTIC IN NATURE,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLOSED
202600175,02/03/2026 05:00:00 pm-02/08/2026 01:23:00 pm,"1205 UNIVERSITY AVE , COLUMBIA MO, 65201",YES CONTINUING SOCIAL RELATIONSHIP ROMANTIC IN NATURE,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLOSED
202600174,02/08/2026 02:00:00 am,"799 HITT ST/ROLLINS ST , COLUMBIA MO, 65201",NO,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202600174,02/08/2026 02:00:00 am-02/08/2026 02:00:00 am,"799 HITT ST/ROLLINS ST , COLUMBIA MO, 65201",NO,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202600174,02/08/2026 02:00:00 am,"799 HITT ST/ROLLINS ST , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,FORGERY,CLEARED BY ARREST
202600174,02/08/2026 02:00:00 am-02/08/2026 02:00:00 am,"799 HITT ST/ROLLINS ST , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,FORGERY,CLEARED BY ARREST
202600174,02/08/2026 02:00:00 am,"799 HITT ST/ROLLINS ST , COLUMBIA MO, 65201",NO,FORGERY,FORGERY,CLEARED BY ARREST
202600174,02/08/2026 02:00:00 am-02/08/2026 02:00:00 am,"799 HITT ST/ROLLINS ST , COLUMBIA MO, 65201",NO,FORGERY,FORGERY,CLEARED BY ARREST
202600173,02/08/2026 12:56:00 am,"799 TIGER AVE/ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202600173,02/08/2026 12:55:59 am-02/08/2026 12:56:00 am,"799 TIGER AVE/ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202600173,02/08/2026 12:56:00 am,"799 TIGER AVE/ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202600173,02/08/2026 12:55:59 am-02/08/2026 12:56:00 am,"799 TIGER AVE/ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202600172,02/07/2026 11:54:00 pm,"699 ELM ST/S SEVENTH ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202600172,02/07/2026 11:53:59 pm-02/07/2026 11:54:00 pm,"699 ELM ST/S SEVENTH ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202600172,02/07/2026 11:54:00 pm,"699 ELM ST/S SEVENTH ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202600172,02/07/2026 11:53:59 pm-02/07/2026 11:54:00 pm,"699 ELM ST/S SEVENTH ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202600172,02/07/2026 11:54:00 pm,"699 ELM ST/S SEVENTH ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,DISORDERLY CONDUCT,FORGERY,CLEARED BY ARREST
202600172,02/07/2026 11:53:59 pm-02/07/2026 11:54:00 pm,"699 ELM ST/S SEVENTH ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,DISORDERLY CONDUCT,FORGERY,CLEARED BY ARREST
202600171,02/07/2026 07:30:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202600171,02/07/2026 07:29:59 pm-02/07/2026 07:30:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202600170,02/07/2026 05:06:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202600170,02/07/2026 04:48:00 pm-02/07/2026 04:49:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202600169,02/07/2026 10:36:07 am,"901 HITT ST , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600169,02/06/2026 07:01:26 pm-02/06/2026 07:02:00 pm,"901 HITT ST , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600168,02/06/2026 07:53:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,MISSING PERSON,MISSING PERSON,CLOSED
202600168,02/06/2026 02:46:00 pm-02/06/2026 07:53:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,MISSING PERSON,MISSING PERSON,CLOSED
202600167,02/06/2026 04:10:00 pm,"907 HITT ST , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202600167,02/06/2026 04:10:00 pm-02/06/2026 04:10:00 pm,"907 HITT ST , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202600166,02/06/2026 01:53:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202600166,02/06/2026 01:52:59 pm-02/06/2026 01:53:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202600165,02/06/2026 02:05:00 pm,"399 E STADIUM BLVD/S PROVIDENCE RD , COLUMBIA MO, 65203",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600165,02/06/2026 01:38:52 pm-02/06/2026 02:05:00 pm,"399 E STADIUM BLVD/S PROVIDENCE RD , COLUMBIA MO, 65203",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600164,02/06/2026 12:28:00 pm,"399 TURNER AVE/S FOURTH ST , COLUMBIA MO, 65201",NO,ROBBERY,ROBBERY,ACTIVE
202600164,02/06/2026 12:05:00 pm-02/06/2026 12:05:00 pm,"399 TURNER AVE/S FOURTH ST , COLUMBIA MO, 65201",NO,ROBBERY,ROBBERY,ACTIVE
202600164,02/06/2026 12:28:00 pm,"399 TURNER AVE/S FOURTH ST , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,ROBBERY,ACTIVE
202600164,02/06/2026 12:05:00 pm-02/06/2026 12:05:00 pm,"399 TURNER AVE/S FOURTH ST , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,ROBBERY,ACTIVE
202600163,02/06/2026 02:55:00 am,"904 S COLLEGE AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,HARASSMENT,HARASSMENT,EXCEPTIONALLY CLEARED
202600163,02/06/2026 02:55:00 am-02/06/2026 02:55:00 am,"904 S COLLEGE AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,HARASSMENT,HARASSMENT,EXCEPTIONALLY CLEARED
202600162,02/06/2026 02:00:00 am,"901 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202600162,02/06/2026 01:59:59 am-02/06/2026 02:00:00 am,"901 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202600162,02/06/2026 02:00:00 am,"901 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,DRUG - NARCOTIC,FORGERY,CLEARED BY ARREST
202600162,02/06/2026 01:59:59 am-02/06/2026 02:00:00 am,"901 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,DRUG - NARCOTIC,FORGERY,CLEARED BY ARREST
202600162,02/06/2026 02:00:00 am,"901 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202600162,02/06/2026 01:59:59 am-02/06/2026 02:00:00 am,"901 HITT ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202600161,02/05/2026 06:57:00 pm,"1299 UNIVERSITY AVE/S COLLEGE AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600161,02/05/2026 06:57:00 pm-02/05/2026 06:57:00 pm,"1299 UNIVERSITY AVE/S COLLEGE AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600160,02/05/2026 05:29:00 pm,"820 CONLEY AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,ACTIVE
202600160,12/15/2025 01:00:00 pm-02/05/2026 05:29:00 pm,"820 CONLEY AVE , COLUMBIA MO, 65201",NO NOT APPLICABLE,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,ACTIVE
202600159,02/05/2026 02:14:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,ACTIVE
202600159,01/23/2026 06:50:00 am-01/23/2026 06:50:00 am,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,ACTIVE
202600158,02/05/2026 02:08:00 pm,"820 CONLEY AVE , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,ACTIVE
202600158,02/03/2026 01:00:00 pm-02/03/2026 03:15:00 pm,"820 CONLEY AVE , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,ACTIVE
202600157,02/05/2026 01:18:00 pm,"1199 MONK DR/E STADIUM BLVD , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600157,02/05/2026 01:17:59 pm-02/05/2026 01:18:00 pm,"1199 MONK DR/E STADIUM BLVD , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600156,02/05/2026 12:00:00 am,"ROLLINS ST/S COLLEGE AVE , COLUMBIA MO, 65201",,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600156,02/05/2026 12:00:00 am-02/05/2026 12:00:00 am,"ROLLINS ST/S COLLEGE AVE , COLUMBIA MO, 65201",,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600155,02/05/2026 08:53:00 am,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202600155,02/05/2026 08:52:59 am-02/05/2026 08:53:00 am,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202600154,02/05/2026 07:59:00 am,"7 HOSPITAL DR , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202600154,02/04/2026 08:00:00 am-02/05/2026 07:59:00 am,"7 HOSPITAL DR , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202600153,02/04/2026 12:00:00 am,"1115 UNIVERSITY AVE , COLUMBIA MO, 65201",,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600153,02/04/2026 12:00:00 am-02/04/2026 12:00:00 am,"1115 UNIVERSITY AVE , COLUMBIA MO, 65201",,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600152,02/04/2026 11:07:00 am,"1099 HITT ST/HOSPITAL DR , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600152,02/04/2026 11:06:59 am-02/04/2026 11:07:00 am,"1099 HITT ST/HOSPITAL DR , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600151,02/03/2026 12:00:00 am,"1306 ROLLINS ST , COLUMBIA MO,",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600151,02/02/2026 12:00:00 am-02/03/2026 12:00:00 am,"1306 ROLLINS ST , COLUMBIA MO,",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600150,02/03/2026 11:57:00 pm,"1202 ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,DRUG - NARCOTIC,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202600150,02/03/2026 11:56:59 pm-02/03/2026 11:57:00 pm,"1202 ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,DRUG - NARCOTIC,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202600150,02/03/2026 11:57:00 pm,"1202 ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,OFFICE INFORMATION (MUPD),DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202600150,02/03/2026 11:56:59 pm-02/03/2026 11:57:00 pm,"1202 ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,OFFICE INFORMATION (MUPD),DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202600149,02/03/2026 04:03:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,OTHER OFFENSE - REPORTABLE,OTHER OFFENSE - REPORTABLE,ACTIVE
202600149,02/03/2026 02:04:00 pm-02/03/2026 04:01:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,OTHER OFFENSE - REPORTABLE,OTHER OFFENSE - REPORTABLE,ACTIVE
202600148,02/03/2026 11:49:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,HARASSMENT,HARASSMENT,ACTIVE
202600148,02/03/2026 11:40:00 am-02/03/2026 11:40:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,HARASSMENT,HARASSMENT,ACTIVE
202600147,02/02/2026 04:55:00 pm,"900 UNIVERSITY AVE , COLUMBIA MO, 65201",NO,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,EXCEPTIONALLY CLEARED
202600147,02/02/2026 04:50:59 pm-02/02/2026 04:55:00 pm,"900 UNIVERSITY AVE , COLUMBIA MO, 65201",NO,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,EXCEPTIONALLY CLEARED
202600146,02/02/2026 02:32:00 pm,"1199 HOSPITAL DR/VIRGINIA AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600146,02/02/2026 02:30:00 pm-02/02/2026 02:32:00 pm,"1199 HOSPITAL DR/VIRGINIA AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600145,02/02/2026 12:00:00 am,"904 S COLLEGE AVE , COLUMBIA MO,",NO,LARCENY - OTHER,LARCENY - OTHER,INACTIVE (MUPD ONLY)
202600145,02/01/2026 12:00:00 am-01/01/1970 12:00:00 am,"904 S COLLEGE AVE , COLUMBIA MO,",NO,LARCENY - OTHER,LARCENY - OTHER,INACTIVE (MUPD ONLY)
202600144,02/02/2026 11:11:34 am,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,ACTIVE
202600144,01/02/2026 07:40:00 am-02/02/2026 11:11:32 am,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,ACTIVE
