cadcallid,street,stoptime,beat,race,resident,sex,age,Location,srch_initiated,search_duration,Area_of_Search_Driver_Only,Area_of_Search_Driver_and_Property,Area_of_Search_No_Search,Area_of_Search_Property_Only,Discovery_of_Contraband_Type_of_Contraband_Found_Alcohol,Discovery_of_Contraband_Type_of_Contraband_Found_Currency,Discovery_of_Contraband_Type_of_Contraband_Found_Drugs_Alcohol_Paraphernalia,Discovery_of_Contraband_Type_of_Contraband_Found_Drugs_Paraphernalia,Discovery_of_Contraband_Type_of_Contraband_Found_Marijuana,Discovery_of_Contraband_Type_of_Contraband_Found_NA_or_No_Contraband_Found,Discovery_of_Contraband_Type_of_Contraband_Found_Other,Discovery_of_Contraband_Type_of_Contraband_Found_Other_Drugs,Discovery_of_Contraband_Type_of_Contraband_Found_Paraphernalia,Discovery_of_Contraband_Type_of_Contraband_Found_Stolen_Property,Discovery_of_Contraband_Type_of_Contraband_Found_Weapon,Reasons_For_Search_Consent,Reasons_For_Search_Drug_Dog_Alert,Reasons_For_Search_Drug_Alcohol_Odor,Reasons_For_Search_Drug_Alcohol_Odor_Alcohol_Odor,Reasons_For_Search_Drug_Alcohol_Odor_Marijuana_Odor,Reasons_For_Search_Drug_Alcohol_Odor_Other_Odor,Reasons_For_Search_Incident_to_Arrest,Reasons_For_Search_Inventory,Reasons_For_Search_NA_No_Search_Conducted,Reasons_For_Search_Other,Reasons_For_Search_Plain_View_Contraband,Reasons_For_Search_Reasonable_Suspicion_Weapon,Reasons_For_Stop_Equipment_Violation,Reasons_For_Stop_Equipment_Violation_Brake_Lights,Reasons_For_Stop_Equipment_Violation_Def_Windshield_or_Vision,Reasons_For_Stop_Equipment_Violation_Headlights,Reasons_For_Stop_Equipment_Violation_Improper_Exhaust_or_Muffler,Reasons_For_Stop_Equipment_Violation_License_Plate_Light,Reasons_For_Stop_Equipment_Violation_Other_Equip_Violation,Reasons_For_Stop_Equipment_Violation_Seatbelt,Reasons_For_Stop_Equipment_Violation_Taillights,Reasons_For_Stop_Equipment_Violation_Turn_Signal,Reasons_For_Stop_Equipment_Violation_Windshield_Wipers,Reasons_For_Stop_Interstate_Highway_Stop,Reasons_For_Stop_Investigative_Violation,Reasons_For_Stop_Investigative_Violation_ALPR_or_Computer_Assist,Reasons_For_Stop_Investigative_Violation_Call_For_Service,Reasons_For_Stop_Investigative_Violation_Check_Point,Reasons_For_Stop_Investigative_Violation_Detective_or_Crime_Bulletin,Reasons_For_Stop_Investigative_Violation_Matching_Suspect_Description,Reasons_For_Stop_Investigative_Violation_Observed_Crime,Reasons_For_Stop_Investigative_Violation_Officer_Initiative,Reasons_For_Stop_Investigative_Violation_Other,Reasons_For_Stop_Investigative_Violation_Pretext_Stop,Reasons_For_Stop_Investigative_Violation_RS_Drug_Activity,Reasons_For_Stop_Investigative_Violation_Welfare_Check,Reasons_For_Stop_License_Plate_Violation,Reasons_For_Stop_License_or_Registration_Violation,Reasons_For_Stop_License_or_Registration_Violation_Invalid_Drivers_License,Reasons_For_Stop_Moving_Violation,Reasons_For_Stop_Moving_Violation_Careless_and_Imprudent,Reasons_For_Stop_Moving_Violation_Commercial_Vehicle_Enforcement,Reasons_For_Stop_Moving_Violation_Distracted_Driving,Reasons_For_Stop_Moving_Violation_Fail_to_Signal,Reasons_For_Stop_Moving_Violation_Failure_to_Yield,Reasons_For_Stop_Moving_Violation_Follow_Too_Close,Reasons_For_Stop_Moving_Violation_Lane_Violation,Reasons_For_Stop_Moving_Violation_Other,Reasons_For_Stop_Moving_Violation_Red_Light_or_Stop_Sign,Reasons_For_Stop_Moving_Violation_School_or_Construction,Reasons_For_Stop_Moving_Violation_Speed,Reasons_For_Stop_Moving_Violation_Speed_1_5_MPH,Reasons_For_Stop_Moving_Violation_Speed_11_20_MPH,Reasons_For_Stop_Moving_Violation_Speed_21plus_MPH,Reasons_For_Stop_Moving_Violation_Speed_6_10_MPH,Reasons_For_Stop_NA_Not_Applicable,Result_of_Arrest_DWI_BAC,Result_of_Arrest_Driver_Not_Arrested,Result_of_Arrest_Drug_Violation,Result_of_Arrest_Offense_Against_Person,Result_of_Arrest_Other,Result_of_Arrest_Other_Weapon_Violation,Result_of_Arrest_Property_Crime,Result_of_Arrest_Resisting_Arrest,Result_of_Arrest_Traffic_Violation,Result_of_Arrest_Warrant,Result_of_Stop_Arrest,Result_of_Stop_Citation,Result_of_Stop_Citation_Equipment,Result_of_Stop_Citation_License_or_Registration,Result_of_Stop_Citation_Moving,Result_of_Stop_No_Action,Result_of_Stop_Other,Result_of_Stop_Warning,Result_of_Stop_Warning_Equipment,Result_of_Stop_Warning_License_or_Registration,Result_of_Stop_Warning_Moving,hour_stop,DoW,day_night,month
2024000890,RICE RD/CAROL DR,2024-01-01 23:51:00.000,"40E ","B ","Y   ",M,30-39,City Street,"Y   ",0-15 MINUTES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,23,Mon,night,January
2024001367,1013 N WEST BLVD,2024-01-02 14:04:00.000,"20W ","B ","Y   ",M,30-39,Interstate Highway,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,14,Tue,day,January
2024000815,W SOUTHAMPTON DR/SOUTHAMPTON CT,2024-01-01 21:33:00.000,"60W ","W ","N   ",F,18-29,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,21,Mon,night,January
2024002862,N OLD 63/E BROADWAY,2024-01-04 00:54:00.000,"70E ","W ","Y   ",F,40-64,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,00,Thu,night,January
2024004425,SILVEY ST/W WORLEY ST,2024-01-05 17:00:00.000,"50W ","W ","Y   ",M,30-39,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,17,Fri,day,January
2024004628,N GARTH AVE/SONDRA AVE,2024-01-05 20:46:00.000,"10E ","B ","Y   ",M,40-64,City Street,"Y   ",0-15 MINUTES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,20,Fri,night,January
2024002135,BROWN STATION RD/WACO RD,2024-01-03 11:01:00.000,"30N ","W ","N   ",F,65+,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,11,Wed,day,January
2024003465,5410 CLARK LN,2024-01-04 16:02:00.000,"40E ","W ","Y   ",F,18-29,City Street,"Y   ",0-15 MINUTES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,16,Thu,day,January
2024003491,E BROADWAY/LEGION LN,2024-01-04 16:31:00.000,"80N ","B ","Y   ",M,18-29,City Street,"Y   ",0-15 MINUTES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,16,Thu,day,January
2024003646,E STADIUM BLVD/S PROVIDENCE RD,2024-01-04 20:13:00.000,"60E ","B ","N   ",M,40-64,State Highway,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,Thu,night,January
2024000817,RANGE LINE ST/RANGE LINE ST OFFR WB,2024-01-01 21:42:00.000,"10E ","W ","Y   ",F,40-64,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,21,Mon,night,January
2024001411,HIGHVIEW AVE/JEWELL AVE,2024-01-02 15:07:00.000,"20W ","B ","Y   ",M,Under 18,City Street,"Y   ",0-15 MINUTES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,15,Tue,day,January
2024001423,3110 CLARK LN,2024-01-02 15:32:00.000,"40W ","W ","N   ",M,40-64,US Highway,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,Tue,day,January
2024001669,716-BLK E BUSINESS LOOP 70,2024-01-02 20:20:00.000,"20E ","W ","Y   ",F,30-39,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,20,Tue,night,January
2024001434,455 E GREEN MEADOWS RD,2024-01-02 15:53:00.000,"60E ","B ","Y   ",M,40-64,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,15,Tue,day,January
2024001764,W NIFONG BLVD/SINCLAIR RD,2024-01-02 23:18:00.000,"60W ","W ","Y   ",F,18-29,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,23,Tue,night,January
2024001791,PARIS RD/AMMONETTE ST,2024-01-03 00:14:00.000,"70E ","H ","Y   ",M,30-39,City Street,"Y   ",0-15 MINUTES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,00,Wed,night,January
2024002998,RANGE LINE ST/KENNESAW RIDGE RD,2024-01-04 08:28:00.000,"30S ","B ","Y   ",F,30-39,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,08,Thu,day,January
2024004291,E BUSINESS LOOP 70/N COLLEGE AVE,2024-01-05 14:47:00.000,"20E ","W ","Y   ",M,40-64,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,14,Fri,day,January
2024004606,SYLVAN LN/VANDIVER DR,2024-01-05 20:29:00.000,"40W ","B ","Y   ",F,30-39,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,20,Fri,night,January
2024004650,CLARK LN/HICKAM DR,2024-01-05 21:22:00.000,"40E ","W ","Y   ",M,40-64,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,21,Fri,night,January
2024003180,E BROADWAY/S TRIMBLE RD,2024-01-04 10:42:00.000,"80S ","W ","Y   ",F,40-64,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10,Thu,day,January
2024005010,2101-L W BROADWAY,2024-01-06 11:21:00.000,"50W ","B ","Y   ",F,40-64,Other,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,11,Sat,day,January
2024005536,N PROVIDENCE RD/I70 W,2024-01-06 23:04:00.000,"10E ","W ","N   ",F,18-29,Interstate Highway,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,23,Sat,night,January
2024005538,S TRIMBLE RD/E BROADWAY,2024-01-06 23:10:00.000,"80S ","B ","Y   ",F,18-29,City Street,"Y   ",0-15 MINUTES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,23,Sat,night,January
