inci_id,address,nature,calltime,hour,DoW,day_night,Race,Age,Gender,Resident,Location,Speed,Lane Violation,Follow to Close,Fail to Signal,CVE,Other,Moving,Equipment,License,Investigative,Citation,Warning,No Action,Other Result,What Searched,Consent,Inventory,Drug_Alcohol Odor,Incident to Arrest,Plain View Contraband,Suspicion Weapon,Drug Dog,Other Basis,Search Duration,Contraband Found,Drug_Alcohol,Currency,Weapon,Stolen Property,Other Contraband,Driver Arrest,Warrant,Drug Violation,Resist Arrest,Offense Against Person,Traffic Violation,DWI BAC,Property Crime,Other Violation,Special Op,Admit Prior Use
2018000227,I70 W-CO/STADIUM BLVD N-CO,TRAFFIC STOP,1/1/2018 14:45,14,Mon,day,W,40+,M,No,Interstate Highway,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000230,BUSINESS LOOP 70 E-CO/COLLEGE AV N-CO,TRAFFIC STOP,1/1/2018 14:56,14,Mon,day,W,40+,M,Yes,City Street,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000239,CLARK LN-CO/HANOVER BLVD-CO,TRAFFIC STOP,1/1/2018 15:21,15,Mon,day,W,18--29,F,Yes,State Highway,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000240,TIGER LN-CO/WORLEY ST W-CO,TRAFFIC STOP,1/1/2018 15:22,15,Mon,day,W,40+,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000257,CLARK LN-CO/OLYMPIC BLVD-CO,TRAFFIC STOP,1/1/2018 15:50,15,Mon,day,B,40+,M,Yes,County Road,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000302,STADIUM BLVD E-CO/ROCK QUARRY RD-CO,TRAFFIC STOP,1/1/2018 17:53,17,Mon,day,W,40+,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000415,NIFONG BLVD W-CO/FORUM BLVD-CO,TRAFFIC STOP,1/1/2018 22:51,22,Mon,night,O,40+,M,Yes,City Street,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,Yes,No
2018000421,COLLEGE AV S-CO/HOSPITAL DR-CO,TRAFFIC STOP,1/1/2018 23:13,23,Mon,night,W,18--29,F,Yes,City Street,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,Yes,No
2018000443,BIG BEAR BLVD-CO/RANGE LINE ST-CO,TRAFFIC STOP,1/2/2018 0:17,0,Tue,night,B,Under 18,M,No,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Driver and Property,1,0,0,0,0,0,0,0,0--15,No,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000521,HIGHWAY 63 N SB-CO/BROADWAY E-CO,TRAFFIC STOP,1/2/2018 7:16,7,Tue,day,W,18--29,M,No,U.S. Highway,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000548,10 SOUTHAMPTON DR E-CO,TRAFFIC STOP,1/2/2018 8:22,8,Tue,day,W,40+,M,Yes,City Street,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000593,RANGE LINE ST-CO/BUSINESS LOOP 70 E-CO,TRAFFIC STOP,1/2/2018 10:00,10,Tue,day,A,18--29,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000679,SEXTON RD W-CO/OAK ST-CO,TRAFFIC STOP,1/2/2018 12:19,12,Tue,day,W,18--29,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Property ONLY,1,0,0,0,0,0,0,0,0--15,No,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000689,205 NIFONG BLVD E-CO,TRAFFIC STOP,1/2/2018 12:37,12,Tue,day,B,18--29,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000784,1205 OLD 63 N-CO,TRAFFIC STOP,1/2/2018 15:42,15,Tue,day,A,18--29,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000898,BEARFIELD RD-CO/MONMOUTH CT-CO,TRAFFIC STOP,1/2/2018 18:44,18,Tue,night,W,18--29,F,Yes,City Street,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000954,OLD 63 N-CO/WALNUT ST E-CO,TRAFFIC STOP,1/2/2018 20:37,20,Tue,night,B,40+,M,Yes,City Street,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000988,BERNADETTE DR-CO/STADIUM BLVD N-CO,TRAFFIC STOP,1/2/2018 21:39,21,Tue,night,B,18--29,M,Yes,City Street,0,0,0,1,0,0,1,0,0,0,0,1,0,0,Property ONLY,0,0,1,0,0,0,0,0,0--15,No,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,Yes
2018000989,1000 BLK ASHLAND RD-CO,TRAFFIC STOP,1/2/2018 21:40,21,Tue,night,W,40+,M,Yes,City Street,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,Yes,No
2018000996,ROCK QUARRY RD-CO/CAPEN PARK DR-CO,TRAFFIC STOP,1/2/2018 22:05,22,Tue,night,W,18--29,M,Yes,City Street,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,Yes,No
2018000998,1030 CLAUDELL LN-CO,TRAFFIC STOP,1/2/2018 22:10,22,Tue,night,B,30--39,M,Yes,City Street,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001000,STADIUM BLVD S-CO/ROLLINS RD-CO,TRAFFIC STOP,1/2/2018 22:11,22,Tue,night,W,18--29,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001043,STADIUM BLVD W-CO/COLLEGE PARK DR-CO,TRAFFIC STOP,1/3/2018 0:01,0,Wed,night,W,18--29,M,Yes,City Street,1,1,0,0,0,0,2,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001052,3200 BLK CLARK LN-CO,TRAFFIC STOP,1/3/2018 0:37,0,Wed,night,B,18--29,M,Yes,City Street,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Driver and Property,1,0,0,0,0,0,0,0,0--15,No,0,0,0,0,0,Yes,0,0,0,0,0,0,1,0,No,No
2018001142,HIGHWAY 63 CONNECTOR NB-CO/CLARK LN-CO,TRAFFIC STOP,1/3/2018 7:10,7,Wed,day,W,18--29,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Driver and Property,1,0,0,0,0,0,0,0,0--15,No,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001154,4900 BLK STEEPLECHASE DR-CO,TRAFFIC STOP,1/3/2018 7:45,7,Wed,day,W,30--39,M,Yes,City Street,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001160,809 VANDIVER DR-CO,TRAFFIC STOP,1/3/2018 7:54,7,Wed,day,W,30--39,F,Yes,City Street,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001162,4900 BLK STEEPLECHASE DR-CO,TRAFFIC STOP,1/3/2018 7:57,7,Wed,day,W,30--39,F,Yes,City Street,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001165,1704 PROVIDENCE RD N-CO,TRAFFIC STOP,1/3/2018 8:03,8,Wed,day,W,40+,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001172,SCOTT BLVD-CO/GEORGETOWN DR-CO,TRAFFIC STOP,1/3/2018 8:15,8,Wed,day,W,18--29,F,Yes,City Street,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001219,716 BUSINESS LOOP 70 E-CO,TRAFFIC STOP,1/3/2018 9:33,9,Wed,day,W,40+,F,No,City Street,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001223,1500 BLK BUSINESS LOOP 70 E-CO,TRAFFIC STOP,1/3/2018 9:41,9,Wed,day,W,40+,F,Yes,City Street,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001224,2609 BROADWAY E-CO,TRAFFIC STOP,1/3/2018 9:42,9,Wed,day,W,40+,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001265,BROADWAY E-CO/GREEN VALLEY DR-CO,TRAFFIC STOP,1/3/2018 10:53,10,Wed,day,W,30--39,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001269,912 RAIN FOREST PKWY-CO,TRAFFIC STOP,1/3/2018 11:04,11,Wed,day,W,18--29,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001273,1900 BUSINESS LOOP 70 E-CO,TRAFFIC STOP,1/3/2018 11:13,11,Wed,day,B,18--29,F,No,City Street,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001285,HIGHWAY 63 N NB-CO/BROADWAY E-CO,TRAFFIC STOP,1/3/2018 11:37,11,Wed,day,B,18--29,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001286,1900 BUSINESS LOOP 70 E-CO,TRAFFIC STOP,1/3/2018 11:37,11,Wed,day,W,18--29,F,Yes,City Street,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001297,COLLEGE AV N-CO/BUSINESS LOOP 70 E-CO,TRAFFIC STOP,1/3/2018 11:49,11,Wed,day,W,30--39,F,Yes,City Street,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001299,STADIUM BLVD W-CO/CARRIE FRANCKE DR-CO,TRAFFIC STOP,1/3/2018 11:52,11,Wed,day,W,30--39,F,Yes,State Highway,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001345,BUSINESS LOOP 70 E-CO/GRAND AV-CO,TRAFFIC STOP,1/3/2018 12:51,12,Wed,day,B,18--29,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Driver and Property,1,0,0,0,0,1,0,0,0--15,No,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001371,COLLEGE AV N-CO/WALNUT ST E-CO,TRAFFIC STOP,1/3/2018 13:31,13,Wed,day,W,40+,F,No,City Street,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001379,300 BLK COLLEGE AV N-CO,TRAFFIC STOP,1/3/2018 13:41,13,Wed,day,H,18--29,F,Yes,City Street,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001391,PARKER ST-CO/HERIFORD RD-CO,TRAFFIC STOP,1/3/2018 13:56,13,Wed,day,B,30--39,M,Yes,City Street,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Driver and Property,0,0,0,0,0,1,0,0,0--15,No,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001394,601 BUSINESS LOOP 70 W-CO,TRAFFIC STOP,1/3/2018 13:58,13,Wed,day,B,30--39,F,Yes,City Street,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001410,BUSINESS LOOP 70 E-CO/CHARLES ST-CO,TRAFFIC STOP,1/3/2018 14:13,14,Wed,day,B,18--29,F,Yes,City Street,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001412,PROVIDENCE RD N-CO/AUSTIN AV-CO,TRAFFIC STOP,1/3/2018 14:18,14,Wed,day,B,30--39,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001441,3200 BLK BROWN STATION RD-CO,TRAFFIC STOP,1/3/2018 15:13,15,Wed,day,W,18--29,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001460,GARTH AV N-CO/BENTON ST-CO,TRAFFIC STOP,1/3/2018 15:34,15,Wed,day,W,18--29,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Driver ONLY,1,0,0,0,0,0,0,0,0--15,No,0,0,0,0,0,Yes,0,0,0,0,1,0,0,0,No,No
2018001465,SEXTON RD E-CO/GARTH AV N-CO,TRAFFIC STOP,1/3/2018 15:38,15,Wed,day,W,18--29,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Driver and Property,1,0,0,0,1,0,0,0,0--15,Yes,1,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001485,4 BUSINESS LOOP 70 E-CO,TRAFFIC STOP,1/3/2018 16:10,16,Wed,day,H,18--29,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Driver and Property,1,0,0,0,0,0,0,0,0--15,No,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001494,MCKEE ST-CO/CLARK LN-CO,TRAFFIC STOP,1/3/2018 16:25,16,Wed,day,B,30--39,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001602,CLINKSCALES RD-CO/WORLEY ST W-CO,TRAFFIC STOP,1/3/2018 19:02,19,Wed,night,B,18--29,F,No,City Street,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001647,KEENE ST N-CO/I70 DR SOUTHEAST-CO,TRAFFIC STOP,1/3/2018 20:47,20,Wed,night,B,18--29,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001672,PROVIDENCE RD S-CO/GREEN MEADOWS RD E-CO,TRAFFIC STOP,1/3/2018 21:23,21,Wed,night,B,18--29,M,Yes,State Highway,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001676,4600 PARIS RD-CO,TRAFFIC STOP,1/3/2018 21:31,21,Wed,night,W,18--29,M,No,State Highway,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001682,GRACE LN N-BC/ROCKY MOUNTAIN AV E-BC,TRAFFIC STOP,1/3/2018 21:34,21,Wed,night,W,30--39,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Driver ONLY,0,0,0,1,0,0,0,0,0--15,No,0,0,0,0,0,Yes,1,0,0,0,0,0,0,0,No,No
2018001685,CLINKSCALES RD-CO/I70 DR SOUTHWEST-CO,TRAFFIC STOP,1/3/2018 21:40,21,Wed,night,B,40+,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001691,SYLVAN LN-CO/HENDRIX DR-CO,TRAFFIC STOP,1/3/2018 21:57,21,Wed,night,B,18--29,F,Yes,City Street,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001693,WORLEY ST W-CO/WEST BLVD N-CO,TRAFFIC STOP,1/3/2018 21:59,21,Wed,night,W,30--39,F,Yes,City Street,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001705,GARTH AV N-CO/PARKADE BLVD-CO,TRAFFIC STOP,1/3/2018 22:15,22,Wed,night,W,18--29,M,No,City Street,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001708,WORLEY ST W-CO/HUNT AV-CO,TRAFFIC STOP,1/3/2018 22:23,22,Wed,night,B,30--39,F,Yes,City Street,0,0,0,1,0,0,1,1,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,Yes,0,0,0,0,0,0,0,1,No,No
2018001711,2900 PARIS RD-CO,TRAFFIC STOP,1/3/2018 22:35,22,Wed,night,B,18--29,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001715,ASH ST W-CO/STADIUM BLVD N-CO,TRAFFIC STOP,1/3/2018 22:43,22,Wed,night,B,18--29,F,Yes,City Street,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Property ONLY,0,0,1,0,0,0,0,0,0--15,Yes,1,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001718,3115 PARIS RD-CO,TRAFFIC STOP,1/3/2018 22:46,22,Wed,night,B,40+,F,Yes,City Street,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001741,GRINDSTONE PKWY-CO/CHURCHILL DR-CO,TRAFFIC STOP,1/3/2018 23:21,23,Wed,night,W,40+,F,No,City Street,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,Yes,No
2018001751,STADIUM BLVD N-CO/ASH ST W-CO,TRAFFIC STOP,1/3/2018 23:40,23,Wed,night,H,40+,M,Yes,State Highway,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001760,1010 BUSINESS LOOP 70 W-CO,TRAFFIC STOP,1/3/2018 23:51,23,Wed,night,B,18--29,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Driver and Property,0,0,1,0,0,0,0,0,16--30,No,0,0,0,0,0,Yes,0,0,0,0,0,0,0,1,No,No
2018001762,PLANK WY-CO/OLD PLANK RD W-CO,TRAFFIC STOP,1/3/2018 23:56,23,Wed,night,W,18--29,M,Yes,City Street,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,Yes,1,0,0,0,0,0,0,0,No,No
2018001768,500 COLLEGE AV N-CO,TRAFFIC STOP,1/4/2018 0:06,0,Thu,night,W,40+,M,Yes,City Street,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001771,GARTH AV N-CO/BUSINESS LOOP 70 E-CO,TRAFFIC STOP,1/4/2018 0:18,0,Thu,night,H,18--29,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Property ONLY,0,0,0,0,0,1,0,0,0--15,No,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001774,GARTH AV N-CO/AUSTIN AV-CO,TRAFFIC STOP,1/4/2018 0:21,0,Thu,night,W,18--29,M,Yes,City Street,0,0,0,0,0,1,1,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,Yes,0,0,0,0,1,1,0,0,No,No
2018001776,TENTH ST N-CO/BROADWAY E-CO,TRAFFIC STOP,1/4/2018 0:22,0,Thu,night,W,18--29,M,Yes,City Street,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001778,STADIUM BLVD W-CO/CARRIE FRANCKE DR-CO,TRAFFIC STOP,1/4/2018 0:24,0,Thu,night,W,18--29,M,No,City Street,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,Yes,0,0,0,0,0,1,0,0,Yes,Yes
2018001785,PROVIDENCE RD N-CO/AUSTIN AV-CO,TRAFFIC STOP,1/4/2018 0:37,0,Thu,night,W,18--29,M,Yes,City Street,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018001788,407 BUSINESS LOOP 70 E-CO,TRAFFIC STOP,1/4/2018 0:41,0,Thu,night,W,40+,M,No,Interstate Highway,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
